STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-02,0,60,69.0,47
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-02,0,80,90.0,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-03,0,83,90.0,72
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-03,0,80,90.0,77
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-03,0,82,90.0,78
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-03,0,63,88.0,55
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-03,0,80,88.0,55
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-04,0,82,88.0,76
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-04,1,77,81.0,75
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-04,0,80,92.0,75
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-04,0,60,62.0,57
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-04,0,77,84.0,57
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-05,0,82,89.0,75
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-05,3,79,81.0,74
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-05,2,80,89.0,75
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-05,0,61,67.0,56
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-05,0,79,87.0,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-06,0,83,87.0,74
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-06,0,80,87.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-06,0,80,87.0,76
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-06,0,60,96.0,76
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-06,0,79,96.0,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-07,0,85,96.0,71
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-07,0,80,85.0,73
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-07,0,82,88.0,75
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-07,0,62,70.0,49
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-07,0,81,92.0,72
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-09,0,82,87.0,76
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-09,0,80,87.0,76
